file	width	height
VGM001000334_02_n	1668	1691
VGM001000335_01_n	3288	2556
VGM001000335_02_n	3268	2544
VGM001000336_01_n	1688	2340
VGM001000336_02_n	1680	2364
VGM001000337_01_n	3219	2536
VGM001000337_02_n	3248	2544
VGM001000338_01_n	3260	2560
VGM001000338_02_n	3252	2564
VGM001000339_01_n	3284	2556
VGM001000339_02_n	3242	2526
VGM001000340_01_n	3256	2544
VGM001000340_02_n	3268	2544
VGM001000341_01_n	1684	2540
VGM001000341_02_n	1664	2532
VGM001000342_01_n	1672	2044
VGM001000342_02_n	1672	2024
VGM001000343_01_n	3288	2544
VGM001000343_02_n	3292	2548
VGM001000344_01_n	3312	2564
VGM001000344_02_n	3300	2560
VGM001000345_01_n	3300	2564
VGM001000345_02_n	3304	2572
VGM001000346_01_n	1638	900
VGM001000346_02_n	1626	900
VGM001000347_01_n	3316	2568
VGM001000347_02_n	3300	2572
VGM001000348_01_n	3288	2564
VGM001000348_02_n	3268	2588
VGM001000349_01_n	3272	2552
VGM001000349_02_n	3276	2556
VGM001000350_01_n	3284	2556
VGM001000350_02_n	3260	2556
VGM001000351_01_n	1724	2548
VGM001000351_02_n	1720	2540
VGM001000352_01_n	1724	2568
VGM001000352_02_n	1708	2548
VGM001000353_01_n	3264	2584
VGM001000353_02_n	3284	2576
VGM001000354_01_n	3332	2596
VGM001000354_02_n	3352	2568
VGM001000355_01_n	3272	2571
VGM001000355_02_n	3272	2568
VGM001000356_01_n	3272	2580
